REPORT NUMBER,PRIMARY TRAFFICWAY,INTERSECTING TRAFFICWAY,DATETIME,LONGITUDE,LATITUDE,is_dry,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
3699575,AIRPORT WAY S,S LUCILE ST,2017-03-02 16:25:00,-122.3211789825652,47.553411825832875,0,1,0,0,0,0,0,0,0,0,3
E936401,ALASKAN WAY,,2019-04-26 11:44:00,-122.35478450084966,47.614894436881734,1,1,0,0,0,0,0,0,0,0,3
E952743,ALASKAN WAY,,2019-07-23 08:07:00,-122.35471894847174,47.6148425317708,1,1,0,0,0,0,0,0,0,0,2
3702057,ALASKAN WAY,,2017-10-05 19:02:00,-122.35350380010688,47.6140951931637,1,0,0,0,0,0,0,0,0,0,3
3852386,ALASKAN WAY,,2020-06-04 14:45:00,-122.33733690029788,47.60261489916534,1,1,0,0,0,0,0,0,0,0,2
3812015,ALASKAN WAY,,2018-07-19 17:50:00,-122.33768030079965,47.603001124849975,1,1,0,0,0,0,0,0,0,0,3
E612676,ALASKAN WAY,,2016-11-07 10:08:00,-122.34499012136662,47.60921509138659,1,1,0,0,0,0,0,0,0,0,3
E741185,ALASKAN WAY,,2017-11-10 18:03:00,-122.34636464808086,47.61000507157117,1,0,0,0,0,0,0,0,1,0,2
E656713,ALASKAN WAY,,2017-03-30 12:16:00,-122.33894181864977,47.604857848899705,1,1,0,0,0,0,0,0,0,0,2
3795843,ALASKAN WAY,,2019-11-09 13:50:00,-122.35100244841459,47.612716331193106,0,1,0,0,0,0,0,0,0,0,2
3812335,ALASKAN WAY,,2018-06-12 18:20:00,-122.34709464541794,47.61045394426258,1,1,0,0,0,0,0,0,0,0,2
3387934,ALASKAN WAY,LENORA ST,2019-09-17 08:26:00,-122.34629451876147,47.609983341264694,0,1,0,0,0,0,0,0,1,0,3
E740836,ALASKAN WAY,MADISON ST,2017-11-28 09:17:00,-122.33824522362816,47.603841165352904,0,1,0,0,0,0,0,0,0,1,2
EA00222,ALASKAN WAY,MARION ST,2020-01-06 08:08:00,-122.33777807634867,47.60308077388668,0,1,0,0,0,0,0,0,0,0,3
3750883,ALASKAN WAY,SENECA ST,2019-04-20 16:50:00,-122.33970402027091,47.60521108473002,1,1,0,1,0,0,0,0,0,0,2
